Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2052,29245.82403,31250.57717,33221.23966,35538.70103,37919.1295,40369.61838,42873.96705,45484.93329,48122.86903,50833.69375,53736.77951,56576.4759,59717.62436,62708.22277,65746.26726,69163.27449,72871.42184,76808.08036,81027.28859,85448.97402,89996.38547,94691.03925,99546.80394,104665.9233,110016.5974,115496.1587,121617.0231,127871.0019,134612.4511,141960.2825,150102.7229,159075.6751,168969.1767,179758.8113,192336.977,198575.3704,217170.2358,215222.955,198120.818,237358.2435,200749.2791,168867.515,194672.7546,198315.3508,204754.6644,205236.74,206187.9645,215844.6967,224078.5018,242213.0112,252295.9143,299714.2034,276112.6027,260370.1065,313837.1647,311873.8895,312631.5284,309446.9529,311869.8411,304575.6272,301613.0616,315385.8574,290997.3016,318213.6886,287336.6007,279603.8631,313640.65,336595.3214,345568.029,362765.5063,369149.6465,361383.2334,365560.4984,351466.5825,329870.5338,352382.8575,299738.8587,289021.5527,281711.489,274300.5177,274298.6325,272207.0492,262422.6911,250290.1858,225868.2604,226637.8086,207618.7526,193506.1969,177562.5154,155325.5536,132963.4179,111576.1282,90565.49923,69090.99641,49171.09725,35730.21916,22640.61803,12563.70558,6231.205538,2664.497374,954.8493795
2053,27298.1261,29342.10784,31316.49735,33271.17331,35572.36345,37922.8397,40363.59112,42862.13528,45471.21816,48114.97108,50830.09496,53729.24417,56573.84459,59691.63961,62676.04686,65707.53898,69112.51557,72838.55279,76761.25746,80999.95619,85413.19489,89977.34989,94697.41308,99566.65699,104712.3623,110066.9137,115572.0348,121715.28,127999.6609,134761.1631,142113.4161,150249.3653,159211.5687,169060.5692,179802.6143,192342.2109,198580.255,217116.3247,215114.0044,197956.555,237236.8248,200565.1819,168730.7144,194463.1588,198003.4741,204409.1798,204877.6158,205804.4538,215393.0119,223631.9432,241700.0304,251745.3631,299043.6256,275475.3315,259646.3074,313003.7574,311038.8143,311838.981,308660.9737,311047.3284,303764.8894,300701.3227,314426.1773,290062.1715,317175.8014,286311.9978,278483.2038,312165.9926,334950.4448,343391.4404,360467.9033,366541.8444,358298.001,362243.1249,347697.7644,325882.5077,347739.2279,295180.9013,283830.8868,275929.0052,267907.4769,266759.6211,263329.2755,252637.9384,239237.8949,213303.4045,212181.926,192327.5881,176939.9551,159782.6234,137031.1491,114451.1931,93136.67449,72743.2014,52868.87836,35388.81321,23788.75383,13647.92133,6667.638714,2806.614453,970.6456345
2054,25642.64294,27388.06429,29404.05191,31363.61008,33302.72645,35575.88128,37917.22085,40352.49336,42849.24921,45463.80272,48111.61467,50823.01444,53726.80263,56549.28624,59661.06962,62639.20588,65659.40911,69081.45855,72794.43686,76735.66533,80966.37397,85395.45426,89983.74536,94716.66182,99611.25598,104760.7353,110139.7162,115666.0584,121838.4761,128141.8645,134907.4765,142253.3727,150379.0381,159299.1636,169103.4645,179809.45,192349.1592,198533.4058,217009.2956,214938.5831,197858.2248,237022.6447,200406.0669,168552.0281,194160.5901,197673.1533,204055.8454,204501.2549,205378.7349,214969.8157,223165.0411,241180.7769,251191.1986,298365.2757,274721.3326,258969.1442,312181.6551,310267.7057,311065.7575,307867.0803,310241.639,302870.1056,299811.4592,313444.4602,289144.8821,316078.7343,285198.0851,277209.9265,310684.2047,332893.0986,341275.0519,357989.4151,363489.5331,355128.6435,358450.0298,343592.3872,321689.4223,342571.7146,289993.24,278126.1718,269628.2215,260682.4819,258212.3182,253676.2313,241656.5487,226110.3534,199875.5501,196748.4526,176054.3576,159414.762,141150.9903,118124.8773,95688.53305,74936.54668,55764.68874,38121.75879,23605.78917,14365.44423,7253.841711,3006.030044,1022.417246
2055,24099.32049,25727.1862,27445.92713,29448.32508,31393.38878,33306.05318,35570.64899,37906.83282,40340.3962,42842.30431,45460.67666,48104.95568,50820.75708,53703.53317,56520.37769,59626.07165,62593.40688,65630.00825,69039.87971,72770.44214,76704.15705,80949.85422,85401.83289,90002.3666,94759.47491,99657.71512,104830.4795,110229.9207,115783.8046,121974.5696,128281.8644,135041.3719,142377.3666,150463.1422,159341.1475,169111.6868,179817.9829,192306.1145,198438.1328,216835.2479,214834.9589,197682.3853,236838.5344,200197.3345,168292.5665,193840.3426,197335.6166,203685.6363,204083.1043,204980.9156,214527.3833,222693.0536,240658.4548,250631.2037,297561.2011,274017.6842,258301.9712,311424.8615,309516.7533,310285.6,307091.2028,309351.2436,301998.5815,298902.1258,312483.6136,288174.9799,314885.263,283930.1977,275931.9292,308823.3467,330896.761,338991.3306,355081.7319,360355.5513,351497.3573,354316.5121,339275.7292,317017.787,336680.1615,284285.901,271903.6554,262493.2791,252476.4037,248906.1701,242821.9805,228576.2298,212061.6237,185517.216,180295.207,158806.0887,141011.4084,121852.1829,98915.56943,77120.54517,57549.72197,40285.06187,25476.40247,14280.13403,7646.564087,3273.402546,1095.062044
2056,22694.26461,24178.82832,25781.57928,27487.28531,29476.31627,31396.55485,33301.18964,35560.9372,37895.49974,40333.89683,42839.39969,45454.4234,48102.86642,50798.7941,53676.12629,56487.28544,59582.55039,62565.4728,65590.74543,69017.37343,72740.84261,76688.7782,80956.18186,85419.80689,90043.40213,94804.07724,99724.47504,104916.8892,110342.7544,115913.8113,122108.6388,128410.1432,135160.2145,142458.264,150504.2426,159350.5536,169121.5956,179779.892,192216.308,198281.6152,216733.8355,214647.0301,197532.0692,236595.9435,199892.4453,168018.1284,193513.3811,196982.04,203273.9562,203693.3903,204565.0532,214080.7256,222218.5891,240131.2005,249966.1719,296812.7116,273325.2677,257689.7243,310689.1965,308759.9201,309524.9047,306232.5993,308485.8007,301108.9566,298014.171,311467.3028,287119.1373,313524.3215,282659.047,274320.3707,307021.458,328741.9024,336305.8435,352097.7496,356757.2609,347538.6195,349970.1227,334460.7671,311682.4548,330191.6943,278054.0452,264843.3528,254374.9333,243529.9056,238422.1363,229856.472,214558.8504,197016.2315,170183.8442,162823.0058,140655.7902,121905.8123,102196.0126,79855.72694,59333.0696,41651.92881,26972.30144,15438.87026,7612.437178,3453.880172,1192.46276
2057,21374.81498,22769.18413,24229.98275,25820.45923,27513.44006,29479.31601,31392.00177,33292.12739,35550.33321,37889.42947,40331.19961,42833.54205,45452.49225,48082.12127,50772.91165,53644.75614,56446.12178,59556.04429,62528.26184,65569.59286,68989.5578,72726.5062,76695.02843,80973.49379,85459.07566,90086.15673,94867.96356,99807.18573,105024.8575,110467.276,116041.9639,122231.6342,128524.2058,135238.1899,142498.5157,150514.6646,159361.6352,169087.7615,179698.2185,192067.2181,198191.7002,216547.2402,214487.2858,197333.1104,236239.4696,199570.1726,167738.1794,193170.9596,196588.5052,202891.2924,203286.0393,204145.78,213632.0231,221740.1605,239503.8444,249348.6812,296077.0916,272691.8853,257095.674,309948.6328,308023.6835,308681.9551,305399.8241,307603.3686,300242.315,297074.6059,310360.1698,285912.8702,312161.4254,281049.3675,272763.2264,305075.8685,326201.9081,333551.2915,348664.3231,352833.0295,343375.9183,345116.3119,328952.3434,305800.4786,323099.554,270969.1793,256795.593,245512.4064,233432.0465,225863.4089,215943.3929,199524.2105,180921.8645,153870.258,144399.0966,121770.4998,102399.0911,82641.95876,61546.66063,43022.04825,27939.20565,16374.05909,8242.322092,3441.705893,1258.208675
2058,20135.57565,21445.42081,22817.38742,24266.54944,25845.05265,27516.26416,29475.06948,31383.48608,33282.22479,35544.67037,37886.92947,40325.71657,42831.76118,45432.92913,48057.66067,50743.28898,53605.72341,56421.08628,59520.82298,62508.30726,65543.40316,68976.18714,72732.66628,76711.6777,81011.0127,85499.99403,90147.20899,94947.11588,99910.42396,105143.9533,110590.0966,116159.6724,122341.1919,128599.4501,135277.6432,142509.812,150526.7517,159331.6015,169013.0621,179561.1643,191982.8158,198023.7795,216389.5417,214274.8685,197038.9738,235862.9217,199241.7144,167445.0593,192789.4992,196223.6854,202491.3479,202875.8991,203724.8719,213180.0642,221169.7767,238922.819,248742.5819,295406.38,272078.4842,256498.3862,309229.9134,307206.7115,307866.1223,304551.6735,306745.8529,299324.9276,296050.3402,309092.8659,284706.2487,310428.1399,279497.4463,271081.3575,302777.0007,323597.9338,330374.8839,344918.561,348706.5637,338721.7988,339553.9798,322873.2617,299364.5688,315020.8033,262879.0831,247998.6099,235490.5878,221301.7059,212368.9663,200998.2537,183414.3668,163766.7781,136632.8732,125186.3167,102442.127,82943.44359,63806.55489,44709.14962,28911.53663,16990.6745,8754.50325,3729.99479,1253.773726
2059,18946.28395,20202.12565,21490.84953,22851.84614,24289.68491,25847.72716,27512.32597,29467.0981,31374.17359,33276.95187,35542.35558,37881.80724,40324.07518,42813.36114,45409.84998,48029.66753,50706.42039,53582.01517,56387.90076,59502.02084,62483.55822,65530.90759,68982.24153,72748.68144,76747.49,81050.11255,85558.25329,90222.85468,95045.81393,100024.2504,105261.4927,110703.0399,116264.7018,122413.8388,128638.121,135289.6982,142522.764,150500.1021,159263.178,168886.3175,179484.7428,191822.7555,197882.6966,216178.8507,213958.902,196728.4795,235479.4822,198897.8801,167118.2268,192436.8231,195842.4259,202089.2094,202464.4414,203301.3752,212640.1488,220642.868,238353.2542,248191.7968,294758.0687,271462.5055,255920.0898,308431.2645,306417.7512,307036.2046,303729.576,305837.7256,298324.0941,294875.5755,307826.6441,283164.9612,308760.7907,277820.6717,269089.2205,300421.4561,320588.4066,326908.3575,340979.7562,344087.5651,333379.2439,333409.0643,316214.7632,292019.003,305779.5169,254024.3109,238032.389,223417.5728,208250.5676,197852.0962,184957.7738,166211.1715,145603.4873,118617.609,105475.5954,83114.72557,64151.62018,46435.50366,30100.51054,17612.59108,9097.568495,3965.50289,1358.794043
2060,17801.14603,19008.93681,20244.94557,21523.32629,22873.6527,24292.21795,25844.05085,27504.90714,29458.37437,31369.22895,33274.81225,35537.57595,37880.29708,40306.78395,42791.6428,45383.43963,47994.81778,50684.05461,53550.66535,56370.26393,59478.66269,62471.83628,65536.85292,68997.63648,72782.88821,76784.81638,81105.62692,85630.44533,90317.0902,95154.58667,100136.6555,105369.7034,110803.9878,116334.6917,122451.7237,128650.8267,135303.4012,142499.1345,150437.3014,159145.7546,168816.7449,179337.5086,191689.082,197693.2892,215863.4988,213625.5845,196412.5807,235078.1823,198514.1531,166816.8732,192068.2881,195459.5962,201686.0588,202050.9131,202794.4139,212142.6693,220127.0375,237837.4211,247660.44,294107.8676,270867.539,255276.5694,307661.7167,305616.1406,306233.9095,302858.5434,304846.2304,297173.8784,293703.1678,306201.9571,281685.7014,306958.706,275829.6221,267049.0464,297692.7764,317302.9617,323263.2111,336565.6711,338776.3417,327471.0329,326671.4491,308600.3603,283601.6502,295651.663,243974.0569,225992.4479,210411.4536,194190.1363,182245.7685,167797.4475,147960.3502,126578.8231,100091.4056,85715.42211,64396.02471,46771.44296,31319.95987,18368.71412,9444.435328,4124.769894,1444.586926
2061,16721.31679,17860.04199,19049.24993,20275.55867,21543.88292,22876.05562,24288.78369,25837.10144,27496.78227,29453.75516,31367.23693,33270.36055,35536.18788,37864.08205,40286.364,42766.79121,45350.55193,47973.70177,50654.55098,53534.07645,56348.31894,59467.67894,62477.68104,65551.66629,69030.30262,72818.54638,76837.67097,81174.42646,85720.29653,90420.90089,95262.06354,100240.2553,105466.5817,110871.5778,116371.6932,122464.9791,128665.1724,135282.4675,142441.3805,150328.2593,159082.338,168680.5025,179215.2988,191508.7296,197408.0046,215531.0491,213286.7649,196082.0411,234629.9143,198161.3022,166501.9968,191698.7418,195076.073,201281.3344,201554.8354,202328.5066,211656.3078,219661.482,237340.7648,247128.2405,293481.3638,270204.5166,254657.9036,306880.8024,304843.338,305383.4224,301906.7881,303704.3773,296027.3025,292191.9417,304646.3059,280086.3688,304813.4472,273791.6501,264680.1168,294713.0403,313848.293,319173.456,331481.4941,332896.7204,320986.2012,318951.6518,299859.7016,274364.9202,284135.3049,231798.3332,213005.6072,196379.4041,179050.0622,165519.8121,149555.8638,128802.3354,106968.3028,81471.47507,66525.82183,47034.42376,31603.96927,19145.91912,9864.339398,4286.052921,1502.606057
2062,15690.03839,16776.66673,17897.93844,19078.07212,20294.93958,21546.16195,22872.8404,24282.27011,25829.48536,27492.49175,29451.90732,31363.06122,33269.08677,35521.00161,37844.9235,40262.99938,42735.83693,45330.64718,47945.91282,50639.00532,53513.40435,56338.0725,59473.40438,62491.97422,65582.90491,69064.36008,72868.90945,76903.18453,81259.98076,85819.23696,90523.53327,95361.22966,100333.1561,105531.7427,110907.7716,116385.373,122479.8658,128646.6696,135229.2365,142339.886,150270.3535,158956.0419,168568.1225,179049.5726,191235.3471,197107.4502,215193.4119,212932.3208,195712.4765,234218.8428,197792.6501,166186.6913,191328.7898,194691.4894,200794.7639,201100.116,201873.6397,211218.8947,219214.1328,236844.002,246616.6898,292782.178,269568.5739,254030.9031,306130.0971,304023.6633,304453.3463,300808.3611,302567.4663,294542.4274,290748.3962,302963.8082,278177.5806,302618.8173,271419.558,262092.5095,291579.9178,309967.7326,314454.9059,325847.4123,326436.5327,313541.7186,310074.6101,290255.946,263842.653,270144.0678,218648.7586,198974.5305,181245.7623,162794.8737,147704.8972,130366.1398,109007.9582,87208.73095,63340.54199,48677.24936,31839.24604,19352.81332,10296.75684,4480.806504,1561.359601
2063,14787.89212,15741.99835,16812.28208,17925.03397,19096.32274,20297.10074,21543.15069,22866.72242,24275.12685,25825.47409,27490.78722,29448.00529,31361.88378,33254.89198,35503.04984,37823.00323,40233.89033,42717.12235,45304.51354,47931.33149,50619.60551,53503.81908,56343.64374,59487.16662,62521.94175,65615.47934,69112.34433,72931.34624,76984.58481,81354.15245,85917.10914,90618.33098,95450.29619,100395.9155,105567.0586,110921.8217,116400.6705,122463.5687,128597.5476,135134.523,142286.9227,150153.0081,158852.5311,168414.9301,178796.7344,190947.5207,196802.4788,214840.2826,212535.6639,195374.5099,233789.4002,197424.0077,165871.2678,190958.2405,194228.1047,200349.9253,200656.796,201466.0212,210799.4441,218767.321,236367.6922,246044.9472,292113.1271,268924.9128,253429.9407,305333.3884,303126.5119,303377.5845,299715.9728,301088.0268,293127.5285,289186.6049,300950.5197,276225.9293,300058.0595,268827.8249,259371.8081,288056.446,305483.0147,309220.6035,319650.5367,319006.1177,304966.4636,300308.6256,279295.6858,251023.0995,255015.373,204422.0539,183818.0727,164968.8135,145447.5398,128923.8172,110492.7372,89013.00156,67916.58394,46429.28296,33010.74598,19530.35052,10423.21779,4681.605386,1632.306084
2064,13804.13305,14836.88567,15775.43294,16837.74773,17942.1944,19098.36908,20294.27946,21537.40271,22860.00865,24271.37424,25823.89123,27487.16175,29446.92077,31348.5231,33238.10431,35482.51118,37795.6874,40216.30916,42692.60794,45290.85649,47913.11027,50610.67131,53509.24418,56356.8238,59515.86446,62553.19606,65661.26625,69171.84438,73008.86193,77074.14996,81447.35864,86007.60477,90703.60681,95510.71842,100430.3175,105581.3781,110937.4782,116386.4142,122418.213,128509.0206,135085.9878,142177.6441,150057.4605,158710.6726,168179.6806,178530.7118,190655.7267,196483.5841,214444.7305,212173.9252,195021.4697,233360.5682,197055.4974,165555.7013,190510.7495,193805.5774,199916.8601,200260.9816,201075.9521,210381.1107,218339.9758,235834.5357,245499.1596,291436.8746,268309.8779,252791.7456,304460.5944,302086.4914,302309.0016,298287.4714,299681.842,291596.1914,287312.7931,298893.1575,273942.9101,297259.5213,266102.9197,256308.5784,283977.5824,300502.9691,303457.4097,312509.3739,310432.3455,295520.5853,289143.0818,265904.8849,237144.764,238624.9456,189030.3445,167488.1315,147564.6222,127120.4822,109428.5485,90367.79954,69439.05096,49871.89741,31542.77826,20283.58567,10534.15484,4743.532012,1705.454798
2065,12732.57372,13849.88607,14868.41196,15799.34029,16853.87877,17944.1286,19095.72836,20288.87764,21531.091,22856.49044,24269.90321,25820.50067,27486.1683,29434.39417,31332.71462,33218.89817,35456.91142,37779.20514,40193.33165,42679.84795,45273.76814,47904.77478,50615.92488,53521.89058,56384.16756,59545.79983,62597.02839,65718.05467,69245.65788,73094.12147,77162.84476,81533.62834,86089.13518,90761.69134,95544.19481,100444.8235,105597.2888,110925.0475,116344.6258,122335.3889,128464.504,134983.962,142089.2583,149925.7954,158491.3799,167932.3253,178261.2659,190350.6779,196126.0459,214085.0036,211796.0845,194669.4268,232932.2086,196687.2524,165173.7215,190103.7932,193394.8344,199531.6488,199883.0075,200687.5112,209982.0147,217860.8955,235326.8284,244948.2685,290792.7628,267656.2929,252091.9538,303446.4622,301054.6408,300904.5846,296933.1869,298159.3906,289753.9573,285399.0289,296480.2243,271447.3517,294317.3588,263031.3859,252756.5704,279443.5395,295013.9642,296803.3952,304255.2614,300976.2567,284701.6196,275463.0453,251391.0923,222088.6285,220865.0614,172418.3037,149993.7802,129138.6807,108052.725,89637.50281,70614.40937,51079.79597,33942.10925,19414.61648,10956.3232,4798.493494,1728.013953
2066,11833.64644,12774.79152,13879.32758,14890.95569,15814.4868,16855.706,17941.66005,19090.65723,20282.94242,21527.79151,22855.1202,24266.73026,25819.58446,27474.49207,29419.5659,31314.62928,33194.95425,35441.47868,37757.71185,40181.41802,42663.86237,45266.00198,47909.85818,50628.00484,53548.00144,56412.69564,59587.69171,62651.40617,65788.45293,69326.81655,73178.59734,77245.0212,81611.46807,86144.88448,90794.19852,95558.81979,100460.9027,105586.5406,110886.4567,116267.2704,122294.5499,128369.1007,134902.0056,141966.7749,149720.889,158260.9523,167682.0145,177979.6416,190008.3421,195801.8008,213709.2954,211419.8442,194318.0367,232504.6649,196240.4435,164827.2661,189708.777,193030.8747,199164.59,199507.2009,200317.8815,209533.9067,217405.8233,234815.1125,244425.3044,290107.7779,266938.9333,251276.8966,302441.5023,299691.4949,299576.6311,295466.3913,296322.815,287873.5046,283148.5345,293842.131,268823.9,290997.0703,259463.8033,248804.0957,274440.8559,288664.5351,289099.2569,295140.3774,290126.2496,271408.8813,260618.6576,235624.5841,205749.751,201664.3458,154587.9122,131433.6001,109924.2358,88647.89292,70160.63828,52035.47429,34825.98335,20926.88282,10502.14133,4995.451545,1748.035787
2067,10913.37813,11872.89807,12801.95855,13900.38137,14905.2406,15816.21064,16853.39853,17936.9059,19085.08207,20279.84707,21526.51454,22852.14447,24265.88454,25808.6308,27460.66438,29402.6024,31292.07808,33180.53218,35421.39808,37746.60999,40166.4753,42656.64391,45270.90581,47921.39886,50652.83364,53575.24828,56452.53534,59639.67607,62718.76909,65865.82995,69407.2712,73256.9418,77319.27677,81664.89289,86176.38329,90808.86561,95574.99837,100451.6931,105550.9672,110814.0096,116229.9001,122205.2569,128292.9995,134787.7736,141774.8558,149505.7178,158027.9847,167420.4469,177663.2947,189698.7588,195463.1784,213335.7117,211044.5888,193967.7365,231984.6384,195836.2723,164491.4871,189360.1187,192684.8247,198800.228,199150.521,199902.2007,209109.3412,216947.8405,234331.0192,243868.7191,289355.1981,266101.3579,250470.186,301106.8514,298406.0324,298137.818,293692.0077,294449.2058,285656.1481,280687.596,291069.0588,265859.8349,287134.1349,255489.8887,244438.4849,268643.0868,281300.5948,280581.1527,284663.2963,276757.8383,256968.4225,244471.8534,218489.1675,188055.4822,181016.6159,135631.923,112035.2511,90322.14096,69501.03303,51791.20827,35540.3252,21508.16289,11336.55294,4792.829632,1819.785331
2068,10029.85329,10949.58991,11898.15675,12821.38659,13913.72425,14906.8737,15814.05569,16848.9422,17931.67625,19082.18118,20278.65649,21523.72287,22851.36194,24255.60312,25795.6533,27444.84586,29381.44593,31278.506,33161.80697,35411.06425,37732.67001,40159.77008,42661.35593,45281.90735,47945.01841,50678.74756,53613.22297,56501.98714,59704.03109,62792.78531,65942.57507,69481.95804,73327.83696,77370.42524,81695.35154,86191.02093,90825.06344,95567.18855,100418.9377,105483.2083,110779.7487,116146.4731,122134.5395,128186.2972,134607.5445,141573.4528,149288.3746,157784.5927,167126.3501,177378.0255,189375.4742,195126.9538,212963.3948,210670.9511,193540.5963,231515.5021,195445.1636,164196.2956,189029.3559,192341.8939,198455.3191,198748.7556,199509.3861,208682.7164,216516.142,233815.3715,243256.5686,288474.2702,265273.3678,249393.006,299851.7272,297012.7276,296392.3298,291882.886,292233.7393,283231.0605,278100.9732,287932.2965,262405.6085,282826.7672,251095.945,239369.5584,261907.6131,273148.5929,270772.7469,271718.0314,262219.0332,241240.6865,226897.1585,199901.273,168992.2334,159020.2017,115775.2429,92197.27244,70930.18032,51393.19758,35435.77483,21986.339,11668.25015,5178.439253,1745.972507
2069,9235.478655,10063.14444,10972.89274,11916.22074,12833.70099,13915.2562,14904.85191,15809.88268,16844.03746,17928.96122,19081.07211,20276.03664,21522.9984,22841.69162,24243.41701,25780.80763,27425.11373,29368.72312,31260.92152,33152.2054,35398.07504,37726.45314,40164.28843,42671.81056,45304.33332,47969.67501,50714.79549,53660.37383,56563.16782,59774.71967,62866.23404,66013.88538,69549.63912,73376.8402,77399.836,81709.89471,86207.16336,90818.53264,95537.04602,100355.6026,105451.8695,110701.5905,116080.8857,122034.7789,128016.7658,134418.5308,141370.2048,149061.3548,157510.6699,166861.9023,177080.1545,189054.9427,194792.133,212593.1381,210214.1874,193156.2993,231062.2463,195102.7308,163916.8914,188702.1445,192018.1373,198066.173,198370.1038,199115.2927,208282.0885,216055.8916,233247.6256,242538.1432,287604.4909,264161.6161,248382.8698,298490.777,295317.5464,294613.7037,289737.5403,289810.3834,280682.3714,275171.7005,284270.7482,258549.9712,278059.0592,245984.6034,233470.9255,254442.1903,263745.2607,258619.5708,257624.0676,246364.0368,224097.1202,207801.2419,179838.2518,148642.2847,135927.0659,95419.31108,72521.01686,52540.34019,35225.07461,21958.48834,11944.82455,5334.906896,1886.44564
2070,8491.248054,9266.142724,10084.56808,10989.5586,11927.67217,12835.12063,13913.3772,14900.92649,15805.28732,16841.49664,17927.9293,19078.61599,20275.36553,21513.90081,22830.22522,24229.47685,25762.28571,27413.25618,29352.27304,31251.93659,33140.12466,35392.31698,37730.77181,40174.2099,42693.04121,45327.74851,48003.91094,50759.56791,53718.67217,56630.34884,59844.90095,62934.54429,66078.59652,69596.57728,73405.24638,77414.2344,81725.91387,86201.79743,90790.84339,95477.85068,100326.9827,105378.7489,110640.6071,115987.7799,121875.1481,127839.0855,134227.9631,141157.9531,148805.6119,157265.0699,166585.7936,176785.25,188736.0044,194459.5786,212139.3207,209804.3569,192785.6102,230667.0528,194779.3627,163640.9852,188394.0642,191652.2432,197700.4161,197990.8427,198746.6658,207854.5531,215548.562,232579.5124,241829.6861,286429.9529,263122.0746,247287.1282,296830.068,293591.1964,292498.322,287390.609,287263.791,277792.6876,271746.6911,280179.4419,254277.7136,272502.6285,240026.6795,226925.0605,245815.7882,252061.2001,245373.8301,242234.9357,229056.8467,205439.2024,187152.1493,158377.6237,127230.225,112196.2495,75177.18655,53810.71137,36074.13725,21864.46272,11946.81787,5466.428251,1943.444997
2071,7812.734486,8519.449469,9285.876022,10099.89052,11000.12515,11928.99746,12833.39483,13909.71977,14896.60156,15802.9118,16840.53647,17925.62974,19077.9948,20266.80483,21503.10929,22817.10849,24212.0817,25751.16316,27397.95583,29343.89655,31240.62113,33134.80078,35396.43518,37740.16312,40194.28606,42715.21274,45360.20337,48046.44649,50814.89306,53782.66896,56697.08011,59910.23125,62996.61761,66123.61974,69623.99615,73419.47868,77430.0782,81721.60447,86176.40967,90735.58403,95451.74392,100258.6201,105322.1359,110553.4764,115837.7215,121707.9513,127660.1119,134028.9957,140918.6149,148576.9752,157008.6595,166312.8357,176492.0491,188419.6234,194050.8782,211733.2492,209409.6896,192463.7819,230294.7434,194460.639,163381.9239,188045.2897,191309.3023,197334.6924,197637.5432,198352.8763,207382.7236,214949.8778,231921.4902,240867.3806,285334.9579,261993.9766,245946.0148,295139.8268,291531.8021,290183.9473,284924.6198,284373.1085,274408.3793,267915.6928,275641.1879,249289.4896,266015.1312,233406.9949,219348.0839,235066.9289,239313.3925,230893.0444,225412.3884,210190.4044,185227.1465,165020.1997,135747.0806,105174.1919,88537.47971,55876.54825,37010.50514,22428.83066,11912.6964,5472.407137,1991.356708
2072,7191.301643,7838.689705,8537.598193,9299.99,10109.60658,11001.35255,11927.40006,12830.02736,13905.6881,14894.37044,15802.01912,16838.3837,17925.05537,19069.94821,20256.64631,21490.76467,22800.73816,24201.64266,25736.83962,27390.19084,29333.33806,31235.66314,33138.71628,35405.30933,37759.10257,40215.25612,42745.89169,45400.53947,48098.97806,50875.60843,53846.26765,56759.25377,59969.67625,63039.94,66150.11263,69638.03245,73435.12657,77426.72093,81698.37147,86124.89146,90711.82585,95387.8377,100206.1096,105240.7104,110412.0188,115680.6509,121539.696,127473.2891,133804.418,140705.2671,148338.2924,156755.5497,166041.6778,176201.5694,188029.7312,193686.1848,211342.8588,209068.5345,192161.3206,229928.4916,194162.2098,163088.1297,187719.3312,190966.9952,196995.4628,197259.7124,197917.7478,206824.3234,214360.9772,231022.3027,239972.9708,284146.187,260609.0206,244581.8698,293117.2784,289278.5122,287752.4781,282122.1537,280982.0408,270618.9456,263661.6055,270332.6365,243455.7758,258798.3499,225731.3359,209880.2784,223327.4087,225360.0682,215041.2376,207044.94,189715.7419,163520.3987,141630.5887,112380.405,83128.91311,65918.1418,38497.76245,23049.25536,12237.64557,5461.828121,1993.534747
2073,6621.283566,7215.198734,7855.393111,8550.579265,9308.940894,10110.73917,10999.88519,11924.27572,12826.31354,13903.6124,14893.53658,15800.00568,16837.85253,17917.50273,19060.39623,20245.02583,21475.35555,22790.92027,24188.22535,25729.59401,27380.395,29328.73769,31239.40851,33147.08172,35423.14895,37778.88929,40244.22526,42784.0336,45450.32789,48156.61151,50935.97437,53905.57395,56815.90094,60011.28893,63065.60958,66163.94947,69653.45402,73432.6203,77405.48894,81650.40323,86103.32547,90652.16035,95339.14879,100130.0663,105107.532,110264.0451,115522.7356,121364.0985,127262.2119,133604.8147,140482.5612,148103.0327,156504.3189,165773.3828,175842.5898,187682.7857,193336.1757,211006.9023,208748.6991,191864.378,229586.5338,193823.1636,162814.3618,187394.5676,190650.9086,196632.252,196841.6738,197401.2427,206275.7453,213551.2584,230189.1614,239001.5482,282682.1706,259201.1319,242944.3586,290904.1853,286911.5452,284986.0006,278829.1526,277181.0537,266406.4578,258676.3333,264114.0774,236958.4765,250415.9709,216113.2231,199529.4613,210462.3942,210064.5154,197706.3233,187076.34,167683.4546,140530.2244,117422.9854,88965.72598,61995.45838,45494.29754,24015.18904,12594.08535,5616.000556,1989.680934
