Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2000,270217,266825,323186,322518,324475,322724,326895,320956,319149,335554,311257,341884,309603,301105,338248,364034,375231,395042,405503,400442,409907,398378,379607,413692,357173,352079,351986,352447,364274,375273,377757,377805,361294,388661,384147,391343,397149,391999,386991,383602,380599,368646,350256,362236,354143,335691,323148,316804,321120,271018,252758,222402,195884,159689,143810,168367,172072,169004,170919,170465,162387,152353,150443,141750,140539,135969,130784,130547,133404,132726,126341,121099,113027,107393,98048,85055,75499,72272,66775,54806,45978,39712,35679,28793,25457,22680,19260,17256,11694,9168,7060,5030,3941,2859,2156,1448,1036,750,551,353,866
2001,292724,282482,267563,323612,322861,324914,323006,327157,320997,319084,335510,311214,341683,309456,300830,338048,363559,374369,394472,404915,400070,409593,398433,379879,413812,357407,352275,352108,352711,364377,375631,377747,377763,361097,388287,383805,390803,396453,391295,386097,382804,379560,367498,349247,361068,352891,334389,321928,315412,319829,269912,251510,221301,194737,158729,142902,167220,170738,167666,169400,168906,160772,150536,148623,139687,138496,133747,128398,127950,130451,129461,122901,117475,109250,103535,94062,81148,71805,68312,62842,51094,42641,36502,32499,25985,22673,20060,16822,14841,9869,7668,5823,4050,3165,2253,1656,1107,807,578,416,966
2002,246381,306271,282885,267579,323643,323039,325005,323042,326984,320894,319041,335491,311008,341479,309142,300567,337378,362692,373793,393917,404432,399759,409605,398535,380041,414078,357483,352313,352224,352645,364420,375400,377552,377477,360661,387760,383043,389998,395698,390321,385102,381704,378324,366200,348025,359813,351530,332988,320604,313950,318421,268512,250060,219969,193563,157680,141811,165858,169344,166042,167784,167095,158876,148649,146631,137715,136119,131364,125699,125130,127326,125910,119257,113621,105233,99410,89845,77237,67879,64266,58669,47302,39194,33289,29394,23287,20072,17549,14604,12693,8281,6360,4751,3306,2524,1787,1270,852,598,441,1123
2003,236687,257075,306554,282920,267593,323703,323047,324916,322882,326830,320724,318901,335246,310702,341112,308852,300090,336699,362210,373275,393202,404050,399546,409535,398538,379995,413899,357477,352411,352389,352786,364547,375372,377459,377189,360245,387134,382389,389218,394772,389357,384124,380486,377088,364997,346753,358493,350076,331600,319232,312537,316794,267124,248665,218610,192310,156533,140756,164502,167845,164460,166107,165265,156887,146704,144425,135494,133729,128921,122933,122269,123987,122235,115516,109668,101249,95187,85591,73221,63936,60142,54511,43593,35845,30272,26351,20739,17573,15251,12522,10813,6945,5139,3834,2605,2028,1410,981,643,444,1298
2004,217456,246241,257200,306226,282780,267540,323603,322764,324567,322572,326542,320436,318595,334833,310265,340645,308322,299363,336069,361649,372340,392617,403660,399289,409325,398308,379814,413618,357363,352328,352316,352650,364235,374922,376906,376544,359473,386265,381427,388136,393608,388137,382830,379035,375653,363603,345368,356998,348548,330010,317697,310984,315047,265630,247077,217212,190925,155313,139559,163054,166227,162779,164298,163140,154880,144607,142090,133034,131236,126222,120174,119174,120486,118516,111624,105524,96995,90915,81306,69112,60030,56211,50455,39986,32598,27238,23466,18302,15257,13077,10610,9107,5715,4209,3083,2013,1592,1084,756,509,1421
2005,206936,227349,246452,257004,306198,282928,267593,323482,322590,324422,322478,326462,320263,318386,334539,309952,340221,307792,299004,335696,361030,371986,392414,403509,399150,409171,398245,379819,413723,357643,352624,352512,352799,364199,374803,376620,376129,358917,385482,380574,387240,392622,386983,381732,377859,374425,362354,344145,355667,347123,328715,316303,309587,313515,264287,245661,216007,189680,154177,138408,161686,164676,161099,162472,161128,152885,142501,139782,130566,128658,123392,117291,115958,116857,114650,107552,101205,92648,86461,76951,65009,56048,52060,46382,36349,29405,24428,20743,15934,13201,11097,8808,7512,4625,3301,2400,1579,1249,828,587,1573
2006,195331,218272,227492,246219,257041,306403,283032,267532,323448,322521,324467,322489,326445,320123,318234,334391,309683,339805,307544,298831,335229,360810,371977,392571,403933,399590,409505,398765,380343,414298,358194,353098,352895,353106,364252,374723,376471,375743,358469,384820,379897,386503,391858,386042,380756,376766,373321,361234,342989,354430,345862,327438,314919,308180,311992,262878,244190,214604,188313,152996,137250,160194,162970,159412,160490,159026,150748,140187,137272,128029,125839,120437,114222,112630,113232,110582,103206,96771,88218,81792,72401,60724,52050,47922,42351,32718,26344,21615,18132,13742,11276,9284,7288,6137,3650,2605,1840,1214,946,631,1743
2007,192887,207968,218499,227319,246269,257231,306404,282866,267352,323307,322466,324429,322381,326249,320004,318074,334118,309358,339694,307424,298522,335190,360997,372295,393483,405267,401132,410795,399969,381634,415501,359180,353982,353569,353756,364694,374998,376520,375788,358260,384547,379751,386168,391580,385501,380296,376304,372799,360609,342440,353735,345068,326576,314008,307159,310970,261962,243061,213594,187284,151881,136202,158845,161512,157815,158695,157046,148704,137943,134805,125611,123133,117544,111055,109329,109480,106600,99128,92469,83823,77361,68133,56554,48271,44044,38704,29596,23645,19108,15783,11873,9614,7817,6027,5053,2916,2039,1449,981,752,1944
2008,192021,206531,208288,218369,227376,246419,257225,306146,282708,267282,323258,322438,324369,322185,326030,319816,317885,333777,309298,339550,307098,298449,335213,361450,373386,394949,406684,402381,411921,401081,382454,416193,359732,354427,353963,353895,364713,375039,376273,375484,357898,383987,379076,385375,390677,384563,379176,375114,371498,359334,341240,352352,343643,325207,312549,305713,309295,260530,241512,212110,185987,150716,134958,157283,159719,155980,156631,154737,146220,135295,132081,122783,120070,114313,107758,105692,105449,102233,94550,87641,79031,72386,63257,52184,44093,39828,34618,25998,20553,16366,13361,9764,7765,6206,4711,3864,2260,1611,1100,741,1962
2009,187568,205446,206660,208111,218421,227647,246490,257027,306031,282675,267307,323267,322385,324152,322016,325944,319589,317568,333706,309145,339140,307003,298488,335503,362171,374482,396082,407741,403375,412887,401973,383093,416691,360162,354751,354182,353938,364764,374744,375959,375084,357319,383251,378315,384545,389703,383570,378092,374073,370408,358261,340161,351068,342478,323929,311263,304315,307741,259009,239898,210580,184608,149473,133681,155702,157949,154097,154429,152322,143722,132788,129175,119846,116860,110872,104273,101866,101247,97673,89837,82853,74191,67592,58557,47903,40137,35798,30820,22846,17808,14029,11277,8030,6301,4968,3667,3000,1658,1150,806,1873
2010,182599,198792,205828,206680,208261,218735,227730,246345,257029,306088,282817,267424,323311,322328,324051,321989,325840,319312,317552,333634,308740,338926,306931,298800,336529,363309,375713,397484,409213,405122,414687,403595,384659,417878,361275,355618,354918,354596,365020,374842,375897,374978,356943,382641,377656,383835,389124,382774,376846,372896,369263,357010,338857,349589,341011,322373,309739,302559,305857,257314,238136,209038,183031,148147,132410,154147,156028,152029,152131,149740,141068,129976,126161,116660,113653,107414,100696,97964,96877,93079,85144,77998,69499,62847,53920,43570,36255,32111,27186,19909,15269,11964,9462,6605,5064,3927,2863,2325,1257,849,2001
2011,157282,194878,199174,205877,206882,208559,218802,227587,246303,257053,306172,282913,267446,323201,322182,324004,321846,325606,319270,317428,333226,308580,338831,306920,299180,337166,364087,376639,398624,410183,406051,415398,404260,385187,418214,361631,355813,355012,354496,364752,374518,375419,374378,356333,381797,376802,382708,388120,381698,375540,371565,367825,355516,337439,348047,339427,320707,307945,300659,303791,255475,236234,207244,181528,146800,131133,152327,153950,149869,149571,146912,138294,127218,122942,113520,110214,103822,96860,93934,92379,88185,80379,73035,64559,57947,49290,39353,32464,28389,23774,17237,12950,10024,7817,5368,4034,3099,2207,1812,914,2111
2012,187442,168973,195292,199181,206102,207160,208625,218674,227582,246345,257113,306123,282810,267329,323039,322077,323906,321577,325496,319181,317024,332919,308446,338701,306912,299485,337709,364816,377358,399470,410838,406516,415899,404520,385293,418300,361487,355795,354800,354209,364386,373948,374707,373551,355468,380842,375804,381658,386911,380523,374222,370277,366290,354092,336025,346406,337755,319026,306139,298788,301790,253545,234434,205584,179968,145327,129637,150388,151696,147490,146827,144217,135247,124073,119586,110176,106491,99874,92807,89632,87634,83180,75179,67856,59593,52977,44619,35264,28688,24782,20549,14507,10748,8141,6261,4185,3100,2363,1646,1368,2141
2013,218944,200726,169383,195345,199285,206354,207227,208527,218611,227555,246380,257175,306117,282778,267270,322997,321921,323608,321576,325423,318879,316889,332761,308364,338686,306966,299696,338305,365471,377997,400145,411342,406856,415993,404652,385179,418006,361439,355434,354330,353711,363747,373132,373946,372670,354530,379696,374690,380391,385646,379221,372818,368791,364790,352542,334410,344723,335944,317171,304189,296835,299576,251681,232440,203788,178274,143661,127957,148281,149307,144918,144003,141151,132021,120863,116065,106624,102725,95781,88588,85109,82860,78065,69908,62634,54459,48123,39962,31206,25133,21469,17451,12149,8731,6490,4947,3242,2357,1804,1235,2599
