Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2049,18223.57116,19476.5827,20768.66495,22086.15162,23457.19088,24826.46811,26226.72804,27720.96085,29181.88744,30800.97994,32354.03831,33932.81718,35709.64185,37635.4566,39664.0539,41837.65237,44102.01612,46451.72272,48841.0822,51306.70302,53907.80603,56624.11222,59416.08286,62517.61224,65681.94899,69063.91493,72752.67452,76842.43554,81364.71514,86368.01184,91848.49341,98242.74775,101572.774,111437.9271,109645.4257,101347.2986,121183.8638,102713.5839,86751.83893,99760.21566,101998.9334,105234.8503,105441.8673,105527.1236,111068.4431,114981.748,123790.8547,128174.842,152357.9848,140170.2351,131472.0892,158370.485,156919.1056,156423.3403,155016.4572,155338.7279,152557.8028,151060.3609,157603.9735,144084.1864,156915.9865,140892.7411,135165.4552,150179.1552,160581.6624,163514.3584,170628.6487,173354.4493,168425.8498,170830.1969,163677.4458,152623.9046,163463.1797,137685.1502,132763.9752,129656.7993,125455.8864,126175.5053,125485.5387,121406.4311,116660.0742,106365.3209,107535.1863,100090.1299,95101.69066,88108.19034,78806.55477,69322.00839,60260.3375,51060.87849,41443.86594,31943.55165,25990.76859,19117.68206,12807.313,8231.432065,4967.21245,2806.311534,1176.758333,463.8832756,145.3668326
2050,17060.77521,18271.18422,19509.88071,20792.95315,22104.58698,23458.50276,24824.07217,26221.5288,27713.32899,29179.52441,30797.68905,32348.27485,33925.46102,35694.0937,37613.98296,39634.41473,41804.84443,44084.61937,46407.81058,48804.68983,51278.04959,53889.70396,56617.46747,59403.1777,62511.32577,65660.57105,69050.34757,72737.02147,76831.81843,81358.86619,86358.42805,91828.16561,98213.07517,101522.5901,111366.9352,109550.5044,101269.7717,121044.9336,102581.002,86593.57181,99609.19988,101760.0559,105002.4796,105178.9206,105177.0531,110688.6738,114571.0243,123322.1636,127614.8107,151746.0507,139577.0345,130918.0381,157648.5014,156200.4561,155660.0727,154232.5496,154550.3904,151801.0928,150283.2632,156753.9528,143270.8169,155916.4325,140009.2737,134260.9676,149062.0918,159316.3053,162175.1093,168988.5961,171628.4335,166419.2425,168734.5059,161481.9666,150186.5664,160677.5222,135152.5391,130006.2851,126663.9519,122230.7051,122440.26,121308.1243,117138.6577,112002.9177,101363.3361,101992.0172,93976.70057,87910.45487,80535.97347,71069.99303,61512.19013,52437.23286,43394.96456,34227.22058,25477.94597,19867.55618,13873.38498,8719.738711,5181.233429,2837.928431,1422.172441,513.8765646,168.3019965
2051,16082.57234,17105.40706,18302.45345,19532.7284,20810.33961,22105.84974,23456.26845,24819.18264,26214.33676,27711.11622,29176.4447,30792.23959,32341.30667,33910.7342,35673.7709,37585.94254,39603.41778,41788.45695,44043.21647,46373.49605,48777.7359,51261.12542,53883.69445,56605.48756,59397.57273,62491.42419,65648.097,69036.05659,72727.6063,76827.04008,81350.70368,86340.36444,91801.64321,98165.95257,101459.4893,111272.3064,109468.6105,101155.4217,120890.9461,102395.6222,86464.29149,99377.46153,101537.4673,104743.0155,104831.7497,104819.6228,110296.0384,114140.1566,122786.4315,127106.7877,151109.5956,138994.9464,130327.2436,156934.6638,155447.2188,154882.6867,153460.474,153795.6421,151032.7441,149486.0974,155884.7789,142373.0077,154956.6191,139089.8842,133280.3298,147908.9464,158036.5215,160644.0024,167337.7058,169618.4709,164414.8943,166512.7232,158946.1455,147670.8384,157773.9435,132393.276,127055.7616,123461.8746,118668.7288,118426.141,117111.9545,112533.0638,106808.577,96210.24587,95839.76246,86946.18222,80430.56652,72702.77429,63131.2567,53588.13061,44619.04835,35884.61221,27335.95967,19502.41429,14437.66821,9458.554493,5495.759605,2963.652547,1439.526725,621.3898206,186.4401161
2052,15100.41902,16124.69611,17134.70947,18323.91527,19549.08843,20811.55227,22103.77095,23451.67695,24812.3996,26212.27201,27708.22613,29171.31548,30785.64725,32327.308,33891.46546,35647.23659,37556.62173,39587.98501,41749.4574,44010.89133,46348.16239,48761.90702,51255.69589,53872.58163,56600.48303,59379.06925,62479.93961,65635.02903,69027.70253,72723.7658,76820.12469,81334.65052,86316.5415,91758.88027,98106.42808,101374.8777,111191.0334,109346.8713,101028.6002,120674.5393,102244.8588,86264.46541,99162.12765,101288.854,104399.0119,104477.6669,104450.3947,109884.0356,113647.1614,122301.9506,126578.4337,150485.9676,138374.0489,129743.7819,156186.7616,154680.5346,154117.9053,152722.6382,153029.7318,150244.839,148671.9567,154923.8065,141512.6022,153958.1306,138092.3426,132268.1236,146743.6857,156571.0355,159104.2027,165411.3705,167612.8749,162289.7437,163941.4928,156329.1399,145049.1985,154607.9418,129439.0236,123897.1798,119920.1617,114837.3114,114395.0563,112576.923,107386.1546,101453.3238,90478.70283,88746.04442,79621.99741,72679.91656,64650.58779,55061.30225,45653.52214,36943.89954,28697.8104,20953.36075,14192.00116,9856.75722,5969.169023,3147.213473,1504.68966,629.3203721,225.4471176
2053,14094.81194,15140.01581,16152.34367,17154.82697,18339.28726,19550.24897,20809.61924,22099.47002,23445.28961,24810.47091,26209.56973,27703.38541,29165.10715,30772.35872,32308.9738,33866.31028,35619.49409,37542.0683,39551.26336,41719.03483,43987.10301,46333.36906,48757.00395,51245.38741,53868.12569,56583.22431,59368.50943,62467.97889,65627.62118,69024.68473,72717.94715,76805.85162,81313.23477,86277.51606,91704.60383,98026.13461,101302.5449,111069.2534,109211.7708,100849.4568,120499.3195,102010.127,86079.30385,98921.54659,100957.8579,104048.5426,104112.2052,104062.8501,109412.1495,113202.704,121798.1056,126061.4791,149820.5399,137761.5594,129132.7119,155425.9914,153927.1441,153388.378,151974.3316,152244.6185,149441.1231,147770.3635,154004.7087,140617.851,152873.9533,137062.7991,131246.2033,145407.171,155098.5952,157303.868,163491.2434,165486.2033,159825.5133,161288.3363,153602.5431,142188.3059,151215.8938,126274.6672,120398.4135,116107.0657,110990.7168,110032.0378,107498.9823,102075.8788,95484.2578,83852.80228,81344.56662,72020.09975,64698.54588,56450.0859,46964.85667,37848.28693,29584.03505,22027.25125,15268.93916,9702.264393,6228.541682,3422.280652,1599.36155,658.1714129,228.3244097
2054,13240.07758,14131.81217,15165.99731,16171.33015,17169.23999,18340.39513,19548.4547,20805.59339,22093.47069,23443.49033,24807.94178,26205.01836,27697.5232,29152.55136,30754.93764,32285.04118,33840.01256,35605.76412,37507.44842,39522.64165,41696.71863,43973.28913,46328.94875,48747.43648,51241.4287,53852.04247,56573.48386,59357.5814,62461.42015,65625.32954,69019.83152,72705.25353,76786.57525,81277.56286,86227.73614,91630.95014,97957.81991,101193.2822,110934.0233,109019.9466,100705.0527,120224.512,101793.2308,85872.37108,98599.90257,100621.0085,103687.115,103728.5114,103618.5288,108988.0348,112740.5051,121305.8478,125509.6924,149164.8757,137120.3303,128511.5239,154679.272,153209.8076,152648.9385,151207.5542,151444.7051,148549.6268,146909.7936,153049.2783,139645.5836,151755.117,136024.326,130072.1761,144065.5616,153373.5236,155511.2332,161455.0195,163015.3536,157283.1555,158524.6447,150624.7227,139121.0907,147580.5662,122764.3519,116628.1304,112279.8833,106821.3092,105137.2254,102256.0276,96144.42691,88565.7868,76928.84711,73649.83017,64178.23149,56555.15987,48206.73339,38984.36566,30348.09597,22738.29656,16073.58193,10452.70273,6138.849607,3575.117494,1740.749637,699.9686452,238.7918872
2055,12443.24976,13274.87012,14156.08314,15183.8443,16184.93644,17170.2943,18338.7313,19544.69376,20799.96302,22091.79601,23441.12657,24803.6588,26199.50385,27685.62936,29136.07523,30732.1992,32260.0239,33827.03348,35573.11536,37480.48677,39501.71404,41683.83019,43969.31117,46320.07427,48743.926,51226.44344,53843.06603,56563.47225,59351.8006,62459.77128,65621.33255,69008.53926,72687.88236,76753.89908,81231.82413,86159.77739,91568.59091,97853.7761,101071.8758,110741.0159,108866.0124,100476.9099,119971.2986,101550.7588,85594.55241,98272.92764,100273.9192,103307.5556,103288.1602,103220.419,108547.0121,112289.5933,120780.2487,124966.6261,148478.7012,136468.9003,127902.5138,153969.6074,152483.1623,151891.5408,150427.2461,150555.9857,147700.4218,146015.5473,152010.2934,138642.346,150627.6263,134829.3154,128894.7713,142490.5598,151657.655,153610.0489,159084.5844,160466.5704,154635.4024,155503.8976,147430.0341,135832.0544,143541.8914,118978.1951,112844.9314,108125.5158,102134.6825,100079.6839,96387.4528,89251.68773,81325.15338,69718.85068,65698.44232,56162.52001,48353.47294,40065.14872,31299.87782,23357.03733,16615.16902,11018.44938,6622.202086,3527.703418,1820.164737,762.268446,253.9563865
2056,11717.8084,12475.9806,13297.68671,14172.75934,15196.63724,16185.94571,17168.75398,18335.22188,19539.42047,20798.40514,22089.5921,23437.10218,24798.46701,26188.28049,27670.00731,29114.57211,30708.43215,32247.709,33796.18479,35547.70885,37460.83641,39489.69216,41680.25685,43961.08507,46316.97111,48729.95861,51218.17253,53833.9068,56558.37916,59350.7235,62456.53671,65611.29652,68992.864,72657.88709,76711.77469,81169.00475,86102.52868,91472.82117,97738.09604,100897.6901,110586.8296,108621.017,100267.2863,119688.1402,101223.859,85312.4371,97936.29657,99909.32073,102871.5087,102894.8234,102806.4585,108117.3871,111807.9822,120263.5514,124398.497,147782.057,135830.9834,127324.8074,153251.1714,151739.1647,151121.6816,149558.9029,149711.1587,146818.3326,145042.3643,150938.3337,137632.3045,149328.0252,133631.9856,127509.7011,140925.6322,149837.7382,151392.4359,156639.7834,157812.6271,151739.0746,152261.0447,144002.3957,132172.7768,139181.9195,115180.0894,108732.4134,103446.8363,97288.76782,94406.80247,89550.11039,82027.18926,73773.26092,62255.57587,57556.00244,48073.9899,40236.88896,32209.37538,24121.90303,17090.56283,11405.0836,6989.604891,3809.84723,1797.676632,797.4837758,276.5594451
2057,11036.56388,11748.6599,12497.4395,13313.36743,14184.71597,15197.59869,16184.50936,17165.4853,18330.2891,19537.97383,20796.35158,22085.82017,23432.22169,24787.86841,26173.52568,27649.62056,29092.09779,30696.76157,32218.45513,33772.1974,35529.25143,37449.60741,39486.48639,41672.63688,43958.35149,46303.9623,48722.33499,51209.79876,53829.44164,56557.80457,59348.17481,62447.63407,65597.14809,68965.26468,72619.00073,76653.56815,81116.3585,86013.85776,91366.27323,97571.24959,100759.1705,110339.6133,108396.5445,100032.7996,119304.7808,100892.2653,85022.23477,97582.5903,99490.03712,102483.2161,102485.8458,102403.7856,107658.3619,111335.0738,119723.2024,123822.0694,147100.6612,135226.9961,126740.3207,152515.8774,150983.8049,150263.5793,148735.1494,148833.9721,145857.6551,144038.4095,149860.1422,136466.1333,148027.1203,132220.5653,126134.9658,139265.6816,147710.7036,149105.6379,154094.5701,154907.2296,148627.7953,148779.7959,140183.394,128218.8241,134809.3682,111045.4878,104092.0286,98605.69373,91841.94933,87780.38095,82373.07696,74480.11972,65942.77085,54599.18192,49323.98807,40053.51796,32389.16546,24855.96876,17674.17951,11747.18473,7244.147963,4025.842235,1943.236432,788.0651122,289.3359573
2058,10396.73054,11065.6476,11768.8815,12512.19059,13324.61298,14185.62571,15196.26412,16181.44325,17160.87987,18328.94708,19536.06398,20792.81892,22081.24393,23422.22917,24773.92256,26154.27213,27628.31425,29081.08777,30669.05576,32195.72475,33754.82685,35518.7583,37446.73052,39479.42851,41670.23784,43946.24572,46296.94062,48714.68043,51205.90249,53829.31116,56555.86082,59340.31648,62434.87029,65571.71875,68929.27427,72564.94085,76605.0464,81034.1085,85915.14485,91211.78063,97439.17203,100535.4198,110113.7471,108145.3685,99713.99779,118916.3405,100551.4531,84717.23185,97175.42046,99117.82138,102079.5032,102088.6026,101973.4165,107208.1518,110840.6926,119175.3135,123258.9216,146456.7321,134616.3006,126142.3669,151770.2138,150140.503,149451.2349,147880.1992,147877.9111,144866.7158,143029.6061,148613.1879,135299.8868,146490.4156,130821.1852,124676.6494,137321.7441,145517.6915,146725.3222,151306.0094,151784.238,145285.9413,144895.4769,136053.1444,124254.5367,130042.7024,106371.3329,99287.12144,93152.97469,85463.19627,80814.58301,74863.76684,66641.42308,57895.26777,46843.95427,41145.14508,32282.88355,25027.90405,18236.63878,12164.61178,7470.982413,4177.239415,2055.288801,852.3449222,285.9187617
2059,9782.683055,10424.15131,11084.70578,11782.78519,12522.77188,13325.4786,14184.39256,15193.39889,16177.11322,17159.63698,18327.17277,19532.762,20788.53124,22071.84746,23409.06943,24755.72589,26134.15111,27617.8995,29054.96842,30647.54372,32179.31707,33745.0013,35516.17829,37440.18316,39477.33032,41658.9819,43939.78385,46289.95246,48711.29682,51206.1619,53827.9088,56548.9305,59328.84016,62411.42373,65538.35505,68878.93399,72520.12151,76528.57041,80942.48519,85771.24579,91090.04459,97224.23173,100331.5727,109860.9307,107802.435,99391.32231,118517.4369,100193.165,84365.77095,96815.07095,98730.84262,101687.9487,101663.8984,101551.8006,106737.6627,110339.7364,118640.6796,122727.7561,145806.0611,133991.7987,125536.6723,150936.3933,149343.8456,148608.4862,146947.6675,146891.8495,143871.9814,141860.9183,147367.3253,133919.3645,144968.4678,129336.6227,122965.4297,135317.8675,143235.3633,144115.3802,148306.744,148427.9485,141551.8132,140690.8175,131913.2222,119926.875,124643.8319,101528.0715,93864.07113,86750.90401,78748.06967,73514.9099,67051.23974,58571.16126,49728.60029,39123.7111,33204.96533,24978.72441,18387.48474,12568.49248,7746.323557,4312.971987,2134.533325,901.9898141,309.2401896
2060,9191.43012,9808.505027,10442.11547,11097.8124,11792.76083,12523.59531,13324.33151,14181.73032,15189.34344,16175.95374,17157.99148,18324.09004,19528.75279,20779.70278,22059.46223,23391.89957,24736.7101,26124.33629,27593.21109,29034.70233,30632.06493,32170.08188,33742.6855,35510.10072,37438.35207,39466.86724,41653.04012,43933.41286,46287.03365,48711.89687,51205.24077,53821.8305,56538.60161,59307.26476,62380.46514,65491.40176,68837.43245,72448.84535,76443.32439,80808.19972,85658.38196,90890.44586,97028.96842,100103.3286,109514.2986,107455.7125,99060.2334,118097.9685,99779.88346,84055.68122,96440.44732,98356.07014,101269.1909,101248.3147,101111.3436,106261.2246,109851.4806,118137.3799,122191.3711,145140.9679,133359.927,124858.2772,150150.3606,148517.7336,147688.5647,145985.9877,145903.0129,142717.6183,140694.3535,145889.4505,132553.5849,143353.771,127591.1133,121201.7714,133232.6911,140730.9085,141306.5159,145081.6442,144672.3431,137506.112,136477.455,127387.5403,115016.0342,119045.7538,96050.53544,87480.51898,80001.61625,71700.20932,65907.88984,58993.72555,50366.1433,41582.92215,31613.58665,25725.92981,18375.92418,12689.30896,8013.68792,4477.033721,2205.906627,937.2826927,327.2519069
2061,8633.895137,9215.709952,9825.417838,10454.47231,11107.21817,11793.54517,12522.52741,13321.84167,14177.95397,15188.26568,16174.41672,17155.1188,18320.3457,19520.4754,20768.05667,22043.30385,23373.95736,24727.45271,26101.08894,27574.06821,29020.16624,30623.39456,32167.99797,33737.03148,35508.50834,37428.61258,39461.40496,41647.23981,43930.91442,46287.92887,48711.40148,51199.93852,53812.56489,56518.69895,59278.58726,62336.62736,65452.91577,68770.82761,72369.34415,76317.70577,80703.36702,85471.93408,90709.63689,96810.26348,99789.06236,109164.2178,107100.2483,98711.9848,117613.6249,99416.37129,83733.32392,96078.17456,97955.13059,100859.9019,100814.3042,100665.6064,105797.4202,109392.7331,117629.4619,121643.3396,144468.7788,132651.0742,124220.128,149335.6335,147615.2853,146740.0032,145022.5942,144753.5123,141566.44,139307.6072,144428.9536,131104.4835,141451.4341,125792.4547,119366.8156,130942.7982,138033.9527,138284.4893,141467.7164,140599.7358,133453.1366,131865.1327,122242.4084,109920.4891,112701.6486,89586.36973,80741.27077,72907.069,64343.53065,58048.58516,50786.5078,42166.34551,33642.9881,24524.99049,18950.83994,12698.13524,8100.978153,4636.837862,2291.908196,969.1555832,340.0565546
2062,8101.425676,8656.71873,9231.609121,9837.053845,10463.34184,11107.96492,11792.54866,12520.19726,13318.30241,14176.95771,15186.83528,16171.72082,17151.62842,18312.59488,19509.54747,20752.86338,22026.41902,23365.23891,24705.54457,26083.07525,27560.38101,29012.0623,30621.52389,32162.71718,33735.65004,35499.43826,37423.58403,39456.12848,41645.12032,43932.06278,46287.80909,48706.8023,51191.64971,53794.23554,56492.0612,59237.72735,62300.9083,65390.57354,68696.48853,72251.54863,76220.09941,80528.87398,85303.521,90507.0539,96507.85479,99472.01466,108805.6119,106726.2636,98309.46715,117188.9176,99038.49641,83422.05427,95690.48264,97563.71315,100432.6049,100375.3763,100232.2104,105362.4986,108930.0774,117110.75,121090.0744,143713.485,131985.7107,123558.989,148444.9422,146684.8542,145790.7463,143900.7197,143608.2673,140195.0595,137938.6693,142879.2662,129393.7946,139491.5532,123921.3248,117350.1504,128475.4403,135130.7302,134893.3361,137545.2484,136520.9119,129010.3124,126611.7657,116900.1157,104134.1806,105195.7423,82752.51708,73646.55519,65489.59124,56729.65732,50028.5408,42568.6975,34157.6439,26133.26061,18090.14516,13112.70226,8116.860693,4692.676788,2375.880403,1007.493263,351.6203927
2063,7635.629615,8122.856442,8671.661061,9242.549873,9845.407645,10464.05251,11107.03458,11790.36324,12516.87825,13317.3753,14175.63402,15184.31487,16168.44418,17144.38489,18302.35416,19495.29181,20736.98729,22018.22883,23344.62481,24688.57936,26070.2357,27552.78548,29010.39279,30616.59646,32161.52031,33727.18598,35494.80673,37418.78014,39454.34835,41646.48311,43932.27209,46283.8506,48699.40564,51174.78512,53769.52584,56453.87064,59204.63804,62242.49706,65320.94659,68585.73284,72160.45366,76056.3978,80371.71134,85114.76275,90225.7479,96203.10121,99147.5188,108428.2239,106293.5596,97957.59507,116747.4511,98674.15815,83088.83723,95312.43962,97155.20477,100000.748,99949.11676,99826.6043,104924.1608,108457.8079,116587.658,120467.4099,143006.0709,131296.7044,122835.6525,147526.7455,145754.7326,144683.3914,142784.0581,142241.0182,138842.7804,136486.0526,141046.127,127631.7094,137452.9448,121863.3192,115175.9343,125817.9153,131868.3146,131209.3825,133617.8556,132043.677,123940.6561,121153.3958,110821.3751,97270.81713,97249.66255,75547.43191,66216.92186,57799.54918,48945.87128,41982.74858,34526.39793,26567.3265,19301.89761,12533.62342,8392.423775,4707.213745,2406.681231,1044.979817,365.5297279
2064,7127.690509,7655.841426,8136.883957,8681.945308,9250.406046,9846.082815,10463.18353,11104.98422,11787.24424,12516.01479,13316.14221,14173.29117,15181.2506,16161.62743,17134.80719,18288.99557,19480.39565,20729.29921,21998.88188,23328.67148,24676.52468,26063.14264,27551.29354,29005.81468,30615.56675,32153.59188,33722.91118,35490.43359,37417.30071,39455.89097,41646.97843,43928.89594,46277.27559,48683.89529,51151.87819,53733.87722,56423.13755,59150.00159,62177.21757,65216.63344,68500.48997,72006.50434,75909.37874,80195.50211,84851.53892,89942.56864,95891.44984,98805.93879,107991.1377,105916.4609,97591.8555,116322.4297,98284.0059,82764.29302,94918.01321,96742.60669,99581.86519,99550.98177,99418.08465,104476.9254,107982.0667,115998.0085,119885.4967,142273.8768,130542.2997,122090.0712,146609.8489,144667.7763,143582.229,141448.0419,140894.3034,137407.7672,134764.2444,139158.2973,125799.0364,135209.014,119643.2677,112832.8574,122827.4189,128321.0599,127521.7983,129301.0303,126925.3703,118669.625,114930.1149,103592.8644,89995.09647,88859.515,67990.14138,58501.08962,49923.62715,41122.20746,34093.16688,26888.65584,19648.29458,13390.70165,8031.88199,4872.533424,2416.331753,1059.107712,379.1302656
2065,6574.413233,7146.569518,7669.068384,8146.540312,8689.331443,9251.046219,9845.271841,10461.25926,11102.0524,11786.43818,12514.86524,13313.95018,14170.44196,15174.86042,16152.6074,17122.31398,18275.03688,19473.19344,20711.15593,21983.91811,23317.3707,24669.89448,26061.81628,27547.02743,29004.93869,30608.14842,32149.63118,33718.9243,35489.22174,37418.99466,39456.63301,41644.12974,43923.07633,46263.03314,48662.66153,51118.62188,53705.37555,56371.88869,59088.90038,62078.86843,65136.73432,68355.32381,71868.64234,75744.48494,79948.73111,84586.85,89653.22265,95563.30585,98409.92194,107611.389,105524.5193,97240.26269,115867.1497,97904.45329,82425.78758,94519.8989,96342.89331,99191.40316,99150.2571,99001.47351,104026.885,107444.9346,115448.1693,119283.5009,141471.567,129764.7925,121346.3665,145536.4304,143587.9272,142261.8776,140133.5523,139465.1265,135703.3513,132991.4368,137195.0271,123780.2407,132787.0415,117249.4811,110192.5374,119572.9334,124771.263,123463.1372,124357.0841,121600.2054,112647.9392,107511.0078,95919.7847,82301.50534,80045.27204,60128.39904,50584.50603,41992.34622,33435.28925,26585.20548,19911.96439,13648.81081,8591.873978,4668.477684,2503.465631,1063.937683,384.2560227
2066,6110.271007,6591.837075,7158.921842,7678.175229,8153.476742,8689.937993,9250.290264,9843.467722,10458.50266,11101.29955,11785.3641,12512.81301,13311.28368,14164.48648,15166.39879,16140.84206,17109.25956,18268.29792,19456.21363,20697.13119,21973.35064,23311.18181,24668.71613,26057.85469,27546.28612,28998.02836,30604.4827,32145.98482,33717.94856,35491.04051,37419.94922,39454.25892,41639.00273,43910.02013,46243.37437,48631.6387,51092.21037,53657.36685,56314.53778,58996.325,62003.90167,64999.61807,68225.70297,71713.96426,75512.57522,79700.85597,84316.62361,89348.486,95182.47838,98066.91078,107216.7121,105148.2982,96863.51924,115424.7583,97508.69153,82084.34137,94134.6911,95971.05151,98798.66927,98741.7964,98582.6933,103517.9586,106945.1862,114879.6462,118623.347,140644.7925,128990.1122,120474.1327,144471.0476,142290.2803,140964.2491,138738.5117,137764.1621,133948.8254,131147.9359,135030.7249,121600.0675,130174.0973,114548.2814,107316.588,116316.986,120859.0671,118806.4112,119209.919,115504.5943,105451.0537,99625.18457,87794.24039,74206.32025,70860.47877,52047.66022,42597.24701,34184.37449,26105.35577,19712.89739,13849.9621,8768.426902,4999.601245,2400.798499,1102.907709,386.0083894
2067,5635.106851,6126.47385,6603.235137,7167.427917,7684.718065,8154.050553,8689.23329,9248.601033,9840.878636,10457.79918,11100.29556,11783.43862,12510.31594,13305.69755,14156.59499,15155.36216,16128.54815,17102.96598,18252.42636,19443.09555,20687.2568,21967.58758,23310.13826,24665.03312,26057.23564,27539.83102,28994.65045,30601.15355,32145.21638,33719.8717,35492.1766,37417.99782,39449.76256,41627.05435,43891.84342,46214.46926,48607.17045,51047.26275,53603.60592,56227.14852,58926.10303,61874.25203,64877.54002,68080.21914,71495.49238,75279.88059,79448.00703,84031.95051,88994.46303,94853.6351,97710.43253,106838.4298,104745.037,96497.87149,114963.609,97109.75425,81754.37299,93777.07186,95597.30412,98398.55477,98331.63857,98108.36175,103045.5203,106428.728,114255.7148,117943.1504,139821.9646,128079.8927,119609.2558,143187.9428,141016.3937,139587.046,137074.7565,136013.5707,132124.4611,129114.1258,132692.1512,119246.6954,127221.5295,111603.4069,104440.1111,112723.911,116362.2731,113955.0826,113306.4182,108201.0223,97791.4343,91262.36459,79231.23393,65756.69896,61403.03388,43879.49509,34718.7856,26723.97382,19382.19293,13729.26763,8908.738049,5108.079084,2573.409271,1058.256627,400.1471473
2068,5178.912647,5650.057659,6137.071237,6611.08535,7173.540152,7685.263085,8153.394155,8687.651783,9246.172646,9840.221848,10456.86032,11098.48845,11781.09523,12505.07336,13298.29051,14146.30233,15143.82963,16122.62905,17088.15861,18240.17108,19433.88713,20681.89368,21966.66735,23306.71842,24664.52173,26051.22763,27536.70942,28991.62622,30600.57083,32147.22995,33721.16364,35490.60311,37414.06816,39438.84051,41610.27005,43864.94578,46191.83297,48565.09041,50996.89576,53521.21545,56161.18581,58803.71262,61759.15726,64740.47224,67873.85384,71276.51882,75042.71545,79181.57225,83700.8983,88689.70238,94511.89723,97369.27217,106432.8315,104354.1136,96116.82828,114499.066,96724.70674,81448.66457,93417.8707,95216.72833,97997.19286,97866.333,97669.04039,102557.5492,105861.494,113612.9235,117266.9872,138853.393,127178.2147,118565.3015,141929.7489,139664.3371,137941.1675,135362.841,134193.3995,130110.2421,126915.3862,130166.406,116583.7882,123999.7543,108658.7693,101261.6476,108586.4961,111674.4984,108379.9494,106215.2697,100417.8289,89656.9659,82435.70085,70278.46724,57040.86792,51825.44519,35806.90613,27175.89309,19867.10706,13516.37297,8842.073821,5195.645746,2631.622736,1134.963076,383.9472396
2069,4768.748865,5192.660071,5659.83443,6144.371128,6616.727212,7174.052659,7684.648795,8151.914906,8685.374476,9245.560174,9839.344705,10455.16376,11096.28862,11776.16491,12498.11732,13288.62995,14135.54708,15138.28401,16108.71722,17076.73099,18231.59376,19428.9056,20681.08437,21963.49895,23306.30275,24658.92435,26048.35312,27533.95623,28991.21035,30602.65368,32148.65812,33719.92545,35487.18607,37404.07969,39423.35331,41585.27228,43844.03567,46152.48354,48517.90475,50919.25857,53459.3335,56045.31838,58695.37887,61629.88256,64545.21123,67667.23887,71053.52506,74792.74345,78871.41306,83416.78517,88373.00648,94185.33301,97003.36132,106040.1064,103946.8435,95733.23478,114051.2577,96368.70552,81141.82062,93052.29857,94835.35531,97541.1414,97436.36183,97215.52623,102021.1834,105277.19,112974.6995,116469.5777,137894.831,126087.3837,117542.7714,140594.3016,138045.1543,136248.0309,133582.9588,132182.2965,127931.5495,124539.3591,127304.5488,113675.5057,120779.0814,105400.7679,97595.10816,104270.5628,106276.7823,101666.4577,98648.82725,92140.51496,81058.18352,73192.07035,61027.41931,48197.95056,42341.58452,28062.67346,20229.0353,13872.35372,8715.74525,5162.545071,2679.153071,1161.271922,411.7771899
2070,4384.474952,4781.413611,5201.64838,5666.57005,6149.618297,6617.203232,7173.483134,7683.258858,8149.781426,8684.803303,9244.7417,9837.753576,10453.09809,11091.65088,11769.61904,12489.0452,13278.5351,14130.3813,15125.26368,16097.98613,17068.75632,18226.9716,19428.19674,20678.15028,21963.16825,23301.09507,24656.27455,26045.85736,27533.68625,28993.33598,30604.19462,32147.71622,33716.96695,35478.05587,37389.77652,39400.13726,41565.9858,43807.28594,46108.32968,48444.74559,50861.23743,53349.77853,55943.05828,58573.65266,61444.93227,64349.92579,67457.00653,70818.42993,74501.45107,78606.04575,83121.55933,88070.82584,93834.9675,96649.48317,105631.0698,103537.1194,95363.92497,113638.0922,96011.63715,80829.70142,92686.32917,94401.32787,97120.69948,96992.752,96716.64301,101468.7494,104697.7364,112220.6177,115681.1675,136732.5443,125020.151,116457.4233,138991.6718,136379.8659,134487.7238,131614.8946,130005.8644,125575.8874,121843.4818,124176.2107,110768.9723,117211.0818,101635.7876,93767.89952,99291.32864,99760.69475,94493.98306,90590.84444,83377.46867,72038.47624,63623.80193,51624.17779,39424.68689,33225.33433,20915.85428,14143.1742,8956.339517,5094.476789,2664.485031,1182.891977,421.322331
