Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2000,141105,138951,168482,167969,168396,168027,169704,167900,167281,175819,161977,177601,160724,155523,174286,187929,193187,203151,208407,205018,210229,204355,193798,211634,182140,179624,179994,179023,185438,191131,192326,192781,184499,197670,195230,199411,201881,199548,196693,195273,192892,186760,177045,183388,179518,169639,163148,160167,161558,136845,127468,112159,98392,80069,71716,84080,85779,83676,84633,83505,78805,74245,72950,68949,68375,66941,66166,68011,71706,73988,70904,68597,64340,60749,56085,46997,41049,38755,35425,28683,23852,20010,17580,14167,12101,10693,8941,8329,4755,3758,2844,1967,1597,1088,815,570,395,324,203,119,348
2001,153054,147570,139279,168683,168112,168607,168183,169805,167917,167261,175781,161943,177475,160622,155339,174129,187575,192502,202731,207931,204585,209935,204213,193730,211372,181966,179418,179801,178831,185223,190992,192049,192520,184177,197292,194903,198941,201327,198994,196046,194691,192152,185971,176267,182499,178683,168685,162224,159209,160585,136067,126555,111376,97572,79362,71046,83317,84864,82727,83620,82460,77760,73061,71778,67682,67072,65554,64617,66361,69787,71814,68606,66246,61821,58171,53427,44516,38690,36309,33039,26453,21909,18165,15801,12592,10629,9341,7686,7092,3962,3108,2330,1590,1278,862,626,443,322,258,158,388
2002,128338,159929,147749,139287,168672,168186,168643,168213,169703,167878,167203,175746,161818,177346,160454,155144,173698,186921,192118,202289,207421,204234,209722,203999,193483,211206,181702,179185,179510,178491,184966,190659,191736,192175,183781,196846,194367,198344,200784,198257,195402,193913,191317,185093,175402,181622,177782,167715,161300,158167,159614,135054,125578,110419,96745,78668,70314,82437,83904,81680,82538,81294,76535,71829,70535,66425,65640,64065,62887,64522,67777,69467,66205,63695,59175,55490,50641,41983,36174,33822,30494,24238,19880,16331,14068,11137,9277,8053,6609,6020,3285,2554,1874,1303,1029,704,482,345,252,211,477
2003,123895,133793,160044,147760,139315,168705,168178,168571,168111,169618,167753,167118,175575,161635,177121,160264,154846,173193,186598,191729,201707,207149,203969,209519,203821,193263,210893,181477,178923,179235,178191,184688,190342,191394,191782,183396,196351,193849,197769,200104,197558,194757,193046,190456,184262,174501,180709,176770,166718,160294,157151,158476,134078,124586,109462,95849,77883,69636,81506,82912,80604,81434,80123,75269,70571,69153,65084,64169,62560,61173,62750,65675,67093,63787,61144,56549,52780,47873,39454,33738,31354,28068,22090,17986,14648,12458,9793,8026,6926,5640,5093,2725,2025,1517,1004,822,552,384,261,194,606
2004,114018,128787,133846,159858,147665,139261,168629,168053,168367,167937,169496,167595,166937,175332,161384,176869,159927,154345,172794,186225,191096,201360,206909,203749,209324,203601,193055,210607,181210,178615,178947,177874,184278,189873,190916,191266,182843,195757,193211,197046,199361,196748,193939,192082,189508,183288,173566,179718,175759,165567,159243,156020,157269,133033,123472,108470,94906,77030,68868,80556,81869,79506,80232,78781,74041,69239,67738,63567,62657,60941,59507,60892,63481,64650,61303,58527,53817,50095,45083,36902,31413,29047,25703,20039,16179,13038,10899,8545,6913,5928,4753,4317,2240,1650,1202,787,670,436,304,224,682
2005,108663,119073,128900,133755,159825,147733,139313,168541,167950,168298,167876,169424,167486,166836,175158,161199,176554,159565,154075,172488,185726,190879,201223,206790,203577,209090,203415,192873,210383,180988,178370,178610,177535,183899,189448,190460,190780,182344,195123,192547,196355,198618,195914,193108,191200,188599,182333,172616,178717,174606,164518,158218,154957,156147,131956,122388,107544,93974,76177,68050,79583,80809,78354,79045,77531,72764,67933,66303,62032,61059,59237,57691,58862,61194,62160,58661,55698,50943,47241,42264,34429,29087,26632,23412,17994,14440,11588,9531,7367,5924,5013,3883,3580,1800,1275,947,625,544,345,252,786
2006,101864,114536,119127,128776,133783,159928,147798,139257,168509,167887,168295,167871,169375,167400,166751,175061,161012,176267,159372,153878,172045,185515,190759,201122,206746,203407,208896,203233,192687,210176,180748,178097,178358,177247,183516,189038,190061,190271,181844,194456,191900,195692,197890,195094,192278,190257,187711,181370,171663,177704,173621,163495,157137,153822,155003,130898,121288,106535,93014,75353,67193,78511,79646,77224,77750,76146,71440,66478,64734,60464,59338,57469,55795,56825,58889,59543,55823,52880,48118,44237,39376,31872,26679,24232,21115,16012,12775,10102,8216,6276,5027,4160,3206,2938,1429,1024,741,482,431,266,884
2007,100859,108383,114629,119049,128779,133850,159927,147729,139129,168428,167845,168236,167793,169267,167277,166631,174867,160725,176132,159204,153564,171978,185556,190769,201104,206694,203352,208821,203065,192570,210051,180586,177906,178114,176974,183274,188742,189658,189881,181353,193922,191487,195192,197337,194360,191651,189602,187022,180663,170972,176860,172764,162543,156209,152875,154031,130069,120295,105679,92206,74544,66422,77558,78661,76122,76514,74852,70155,65110,63178,58997,57688,55710,53876,54781,56521,56980,53203,50100,45333,41443,36653,29366,24419,22034,19066,14295,11362,8809,7053,5359,4219,3477,2604,2455,1154,805,595,390,349,1005
2008,100434,107929,108536,114591,119071,128834,133827,159816,147641,139102,168407,167813,168190,167663,169131,167147,166470,174593,160610,175931,158856,153482,171985,185596,190720,200965,206527,203150,208557,202809,192285,209736,180304,177616,177821,176623,182888,188382,189192,189477,180899,193336,190842,194468,196512,193536,190718,188677,185951,179650,170025,175713,171601,161424,155069,151706,152768,128942,119119,104574,91238,73703,65559,76521,77445,74928,75216,73395,68608,63454,61537,57281,55837,53797,51837,52585,53976,54208,50292,46987,42327,38344,33616,26773,21985,19630,16793,12319,9710,7417,5818,4280,3330,2676,1983,1801,891,650,477,301,1005
2009,98038,107414,108002,108408,114629,119245,128853,133740,159749,147639,139128,168380,167763,168054,167558,169058,166973,166226,174441,160414,175537,158762,153483,171928,185459,190637,200824,206404,202988,208407,202619,192043,209434,179979,177312,177544,176255,182603,187940,188753,188986,180368,192657,190139,193707,195604,192695,189798,187772,184954,178719,169051,174609,170574,160351,154007,150538,151549,127750,117924,103457,90242,72827,64687,75416,76272,73693,73787,71898,67054,61888,59786,55542,53926,51763,49731,50248,51402,51371,47391,43987,39326,35434,30829,24303,19795,17402,14766,10698,8260,6281,4851,3498,2668,2131,1533,1427,651,476,348,931
