Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2000,129112,127874,154704,154549,156079,154697,157191,153056,151868,159735,149280,164283,148879,145582,163962,176105,182044,191891,197096,195424,199678,194023,185809,202058,175033,172455,171992,173424,178836,184142,185431,185024,176795,190991,188917,191932,195268,192451,190298,188329,187707,181886,173211,178848,174625,166052,160000,156637,159562,134173,125290,110243,97492,79620,72094,84287,86293,85328,86286,86960,83582,78108,77493,72801,72164,69028,64618,62536,61698,58738,55437,52502,48687,46644,41963,38058,34450,33517,31350,26123,22126,19702,18099,14626,13356,11987,10319,8927,6939,5410,4216,3063,2344,1771,1341,878,641,426,348,234,518
2001,139670,134912,128284,154929,154749,156307,154823,157352,153080,151823,159729,149271,164208,148834,145491,163919,175984,181867,191741,196984,195485,199658,194220,186149,202440,175441,172857,172307,173880,179154,184639,185698,185243,176920,190995,188902,191862,195126,192301,190051,188113,187408,181527,172980,178569,174208,165704,159704,156203,159244,133845,124955,109925,97165,79367,71856,83903,85874,84939,85780,86446,83012,77475,76845,72005,71424,68193,63781,61589,60664,57647,54295,51229,47429,45364,40635,36632,33115,32003,29803,24641,20732,18337,16698,13393,12044,10719,9136,7749,5907,4560,3493,2460,1887,1391,1030,664,485,320,258,578
2002,118043,146342,135136,128292,154971,154853,156362,154829,157281,153016,151838,159745,149190,164133,148688,145423,163680,175771,181675,191628,197011,195525,199883,194536,186558,202872,175781,173128,172714,174154,179454,184741,185816,185302,176880,190914,188676,191654,194914,192064,189700,187791,187007,181107,172623,178191,173748,165273,159304,155783,158807,133458,124482,109550,96818,79012,71497,83421,85440,84362,85246,85801,82341,76820,76096,71290,70479,67299,62812,60608,59549,56443,53052,49926,46058,43920,39204,35254,31705,30444,28175,23064,19314,16958,15326,12150,10795,9496,7995,6673,4996,3806,2877,2003,1495,1083,788,507,346,230,646
2003,112792,123282,146510,135160,128278,154998,154869,156345,154771,157212,152971,151783,159671,149067,163991,148588,145244,163506,175612,181546,191495,196901,195577,200016,194717,186732,203006,176000,173488,173154,174595,179859,185030,186065,185407,176849,190783,188540,191449,194668,191799,189367,187440,186632,180735,172252,177784,173306,164882,158938,155386,158318,133046,124079,109148,96461,78650,71120,82996,84933,83856,84673,85142,81618,76133,75272,70410,69560,66361,61760,59519,58312,55142,51729,48524,44700,42407,37718,33767,30198,28788,26443,21503,17859,15624,13893,10946,9547,8325,6882,5720,4220,3114,2317,1601,1206,858,597,382,250,692
2004,103438,117454,123354,146368,135115,128279,154974,154711,156200,154635,157046,152841,151658,159501,148881,163776,148395,145018,163275,175424,181244,191257,196751,195540,200001,194707,186759,203011,176153,173713,173369,174776,179957,185049,185990,185278,176630,190508,188216,191090,194247,191389,188891,186953,186145,180315,171802,177280,172789,164443,158454,154964,157778,132597,123605,108742,96019,78283,70691,82498,84358,83273,84066,84359,80839,75368,74352,69467,68579,65281,60667,58282,57005,53866,50321,46997,43178,40820,36223,32210,28617,27164,24752,19947,16419,14200,12567,9757,8344,7149,5857,4790,3475,2559,1881,1226,922,648,452,285,739
2005,98273,108276,117552,123249,146373,135195,128280,154941,154640,156124,154602,157038,152777,151550,159381,148753,163667,148227,144929,163208,175304,181107,191191,196719,195573,200081,194830,186946,203340,176655,174254,173902,175264,180300,185355,186160,185349,176573,190359,188027,190885,194004,191069,188624,186659,185826,180021,171529,176950,172517,164197,158085,154630,157368,132331,123273,108463,95706,78000,70358,82103,83867,82745,83427,83597,80121,74568,73479,68534,67599,64155,59600,57096,55663,52490,48891,45507,41705,39220,34687,30580,26961,25428,22970,18355,14965,12840,11212,8567,7277,6084,4925,3932,2825,2026,1453,954,705,483,335,787
2006,93467,103736,108365,117443,123258,146475,135234,128275,154939,154634,156172,154618,157070,152723,151483,159330,148671,163538,148172,144953,163184,175295,181218,191449,197187,196183,200609,195532,187656,204122,177446,175001,174537,175859,180736,185685,186410,185472,176625,190364,187997,190811,193968,190948,188478,186509,185610,179864,171326,176726,172241,163943,157782,154358,156989,131980,122902,108069,95299,77643,70057,81683,83324,82188,82740,82880,79308,73709,72538,67565,66501,62968,58427,55805,54343,51039,47383,43891,40100,37555,33025,28852,25371,23690,21236,16706,13569,11513,9916,7466,6249,5124,4082,3199,2221,1581,1099,732,515,365,859
2007,92028,99585,103870,108270,117490,123381,146477,135137,128223,154879,154621,156193,154588,156982,152727,151443,159251,148633,163562,148220,144958,163212,175441,181526,192379,198573,197780,201974,196904,189064,205450,178594,176076,175455,176782,181420,186256,186862,185907,176907,190625,188264,190976,194243,191141,188645,186702,185777,179946,171468,176875,172304,164033,157799,154284,156939,131893,122766,107915,95078,77337,69780,81287,82851,81693,82181,82194,78549,72833,71627,66614,65445,61834,57179,54548,52959,49620,45925,42369,38490,35918,31480,27188,23852,22010,19638,15301,12283,10299,8730,6514,5395,4340,3423,2598,1762,1234,854,591,403,939
2008,91587,98602,99752,103778,108305,117585,123398,146330,135067,128180,154851,154625,156179,154522,156899,152669,151415,159184,148688,163619,148242,144967,163228,175854,182666,193984,200157,199231,203364,198272,190169,206457,179428,176811,176142,177272,181825,186657,187081,186007,176999,190651,188234,190907,194165,191027,188458,186437,185547,179684,171215,176639,172042,163783,157480,154007,156527,131588,122393,107536,94749,77013,69399,80762,82274,81052,81415,81342,77612,71841,70544,65502,64233,60516,55921,53107,51473,48025,44258,40654,36704,34042,29641,25411,22108,20198,17825,13679,10843,8949,7543,5484,4435,3530,2728,2063,1369,961,623,440,957
2009,89530,98032,98658,99703,103792,108402,117637,123287,146282,135036,128179,154887,154622,156098,154458,156886,152616,151342,159265,148731,163603,148241,145005,163575,176712,183845,195258,201337,200387,204480,199354,191050,207257,180183,177439,176638,177683,182161,186804,187206,186098,176951,190594,188176,190838,194099,190875,188294,186301,185454,179542,171110,176459,171904,163578,157256,153777,156192,131259,121974,107123,94366,76646,68994,80286,81677,80404,80642,80424,76668,70900,69389,64304,62934,59109,54542,51618,49845,46302,42446,38866,34865,32158,27728,23600,20342,18396,16054,12148,9548,7748,6426,4532,3633,2837,2134,1573,1007,674,458,942
2010,87612,94891,98222,98666,99756,103975,108446,117553,123287,146333,135118,128268,154927,154600,156062,154478,156869,152537,151419,159372,148728,163519,148231,145428,164757,178048,185295,196905,203068,202411,206593,201311,192963,208889,181716,178787,177869,178707,182976,187448,187747,186648,177215,190813,188407,191033,194438,191041,188122,186192,185384,179442,170927,176242,171702,163309,157043,153360,155713,130819,121521,106671,93852,76233,68600,79780,80970,79635,79791,79436,75611,69809,68196,63040,61584,57687,53074,50107,48119,44488,40641,36973,33002,30239,25821,21780,18568,16681,14371,10685,8263,6671,5412,3727,2943,2267,1678,1207,753,491,1024
2011,75156,93439,95081,98264,98753,99887,103993,108369,117531,123291,146378,135175,128288,154878,154529,156066,154446,156808,152602,151498,159358,148663,163461,148284,145904,165565,178941,186364,198241,204284,203582,207620,202326,193832,209637,182392,179355,178273,179041,183175,187662,187877,186747,177235,190784,188348,190900,194368,190900,187886,185981,185084,179136,170631,175851,171332,162920,156563,152858,155182,130264,120973,106103,93377,75824,68236,79161,80247,78830,78823,78303,74490,68740,66869,61714,60120,56185,51427,48446,46417,42588,38793,35052,30988,28175,23867,19946,16831,14930,12690,9315,7080,5650,4487,3042,2358,1772,1281,916,538,1075
